Nama Topik,Deskripsi,Urutan
Artificial Intelligence & Machine Learning,"Deep learning, neural networks, NLP, computer vision, dan aplikasi AI",1
Internet of Things (IoT),"Smart devices, embedded systems, sensor networks, edge computing",2
Cyber Security & Privacy,"Network security, cryptography, data privacy, ethical hacking",3
Big Data & Data Science,"Data analytics, data mining, visualization, business intelligence",4
Cloud & Distributed Computing,"Cloud architecture, microservices, containerization, serverless",5
Software Engineering,"Software development, agile methodology, DevOps, quality assurance",6
Human-Computer Interaction,"UX/UI design, accessibility, usability studies",7
Information Systems,"Enterprise systems, e-government, digital transformation",8
Educational Technology,"E-learning, gamification, learning management systems",9
Green Computing & Sustainability,"Energy-efficient computing, sustainable IT practices",10
